image_id,label,color_group,r,g,b,contrast,thickness_nm
mock_00000,Bulk,Yellow,187.9023,165.4111,121.5234,-0.320813,4.928676
mock_00001,Monolayer,Light Blue,189.5137,204.9307,237.3682,-0.062504,0.360007
mock_00002,Bulk,Yellow,187.457,165.3154,121.7812,-0.310633,5.040524
mock_00003,Bilayer,Blue,154.374,179.207,219.832,-0.125461,0.70099
mock_00004,Bilayer,Blue,154.3984,179.5195,219.7969,-0.106507,0.57045
mock_00005,Few Layers,Green,114.1943,169.625,149.4951,-0.232974,2.246949
mock_00006,Bilayer,Blue,154.7646,179.4287,219.8408,-0.105518,0.589191
mock_00007,Monolayer,Light Blue,189.4365,204.2783,237.0244,-0.055413,0.310396
mock_00008,Few Layers,Green,114.6006,168.9902,149.6172,-0.24226,2.273375
mock_00009,Trilayer,Purple-Blue,127.5371,147.5127,209.5283,-0.166373,1.046416
mock_00010,Bulk,Yellow,187.4248,165.376,122.0273,-0.297282,5.040301
mock_00011,Bulk,Yellow,187.2129,165.8906,121.749,-0.324732,4.99711
mock_00012,Bilayer,Blue,154.6904,179.4863,219.5908,-0.065861,0.597015
mock_00013,Bilayer,Blue,154.3994,179.6338,219.4336,-0.115194,0.75258
mock_00014,Trilayer,Purple-Blue,127.6377,147.7334,209.5928,-0.142296,1.032597
mock_00015,Trilayer,Purple-Blue,127.2617,147.1396,209.3086,-0.158581,0.924023
mock_00016,Bulk,Yellow,187.4805,165.2031,121.6865,-0.347749,5.094509
mock_00017,Bilayer,Blue,154.8037,179.6035,219.5684,-0.113116,0.531412
mock_00018,Monolayer,Light Blue,189.2871,204.499,237.7402,-0.050574,0.284349
mock_00019,Few Layers,Green,114.5459,169.7764,149.8389,-0.272428,2.318528
mock_00020,Trilayer,Purple-Blue,127.0332,147.625,209.2295,-0.145984,1.048642
mock_00021,Bilayer,Blue,154.7256,179.792,219.5,-0.081751,0.624537
mock_00022,Monolayer,Light Blue,189.3457,204.582,237.3623,-0.016534,0.368659
mock_00023,Bilayer,Blue,154.2373,179.3574,219.6045,-0.081543,0.669631
mock_00024,Bulk,Yellow,187.5605,165.2002,121.4375,-0.319923,4.995653
mock_00025,Monolayer,Light Blue,189.6934,204.459,237.5166,-0.039837,0.304856
mock_00026,Monolayer,Light Blue,189.459,204.0098,237.71,-0.049615,0.187484
mock_00027,Trilayer,Purple-Blue,126.7363,148.0029,209.7061,-0.174662,1.014929
mock_00028,Trilayer,Purple-Blue,127.79,147.2354,209.3086,-0.193617,0.855044
mock_00029,Bulk,Yellow,187.2178,165.1738,121.6924,-0.328266,4.905214
mock_00030,Trilayer,Purple-Blue,127.6338,147.4092,209.918,-0.175802,1.046643
mock_00031,Trilayer,Purple-Blue,127.5889,147.0215,209.4521,-0.167306,0.963888
mock_00032,Monolayer,Light Blue,189.6191,204.7148,237.4541,-0.042841,0.382225
mock_00033,Trilayer,Purple-Blue,127.666,147.3945,209.5449,-0.156355,0.942577
mock_00034,Few Layers,Green,114.4941,169.4785,149.1445,-0.226784,2.107945
mock_00035,Bilayer,Blue,154.4795,179.0898,219.1484,-0.108138,0.701954
mock_00036,Trilayer,Purple-Blue,127.6387,147.4062,209.3721,-0.137529,1.005008
mock_00037,Trilayer,Purple-Blue,127.5381,147.1162,209.3838,-0.147628,1.058031
mock_00038,Monolayer,Light Blue,189.751,204.4004,237.5898,-0.05176,0.206562
mock_00039,Bulk,Yellow,187.3721,165.3115,121.0986,-0.318509,5.080256
mock_00040,Few Layers,Green,114.3135,169.5381,149.5742,-0.218639,2.307194
mock_00041,Bilayer,Blue,154.3252,179.6377,219.3486,-0.064422,0.677092
mock_00042,Bulk,Yellow,187.4561,165.5215,121.5996,-0.328656,4.984117
mock_00043,Bulk,Yellow,187.4824,165.5898,121.1133,-0.327909,4.912958
mock_00044,Bulk,Yellow,187.3711,165.2217,121.6719,-0.324201,5.029969
mock_00045,Monolayer,Light Blue,189.3955,204.668,238.165,-0.041233,0.239792
mock_00046,Trilayer,Purple-Blue,127.6328,147.8203,209.7461,-0.161911,0.970588
mock_00047,Monolayer,Light Blue,189.8154,204.5449,237.4717,-0.010916,0.323199
mock_00048,Monolayer,Light Blue,189.5996,204.3926,237.457,-0.042608,0.329221
